"index","prod_brand","prod_name","category","description","sku","cost","price","stock","thumb_img","prod_img","prod_featured","rank"
"1","SPALDING","Backboard","Sports"," This backboard is made with the highest quality, durable plastics and rubbers to ensure it will last through thousands of games.","600001","250","329.99","25","img/backboard_sml.jpg","img/backboard_lg.jpg","0","3"
"2","WILSON","Basketball","Sports","A ball with supreme texture, bounce, and grip lines. You'll never have butterfingers when you play with this ball.","600002","15","19.99","200","img/bball_sml.jpg","img/bball_lg.jpg","0","1"
"3","EXTRACTION","Weight Bench","Fitness","A weight bench with a simple, collapsable design. It can be mounted to the floor or folded up and stored.","600003","300","459.99","12","img/bench_sml.jpg","img/bench_lg.jpg","0","5"
"4","STAMINA","Exercise Bike","Fitness","Looking for a better way to get your cardio exercise? Here's a fitness bike that'll get the job done without breaking the bank ","600004","180.5","239.99","8","img/bike_sml.jpg","img/bike_lg.jpg","1","4"
"5","SACKMASTER","Cornhole","Leisure","Whether it's in your back yard, at a bar, or when you're tailgating cornhole is classic fun for everyone. Comes with 8 premium throwing sacks.","610005","20","34.99","40","img/cornhole_sml.jpg","img/cornhole_lg.jpg","0","2"
"6","HAMMER ON","Dumbells","Fitness","Ready to develop some beastly biceps? This set includes all the essential dumbells for the sports pro, body builder, and fitness fanatic.","600005","100","179.99","12","img/dumbells_sml.jpg","img/dumbells_lg.jpg","0","3"
"7","NIKE","Football Gloves","Sports","Includes grip enhancing polycarbonate rubber ridges and vapor cool polyester technology.","600006","28","39.99","400","img/gloves_sml.jpg","img/gloves_lg.jpg","0","5"
"8","SCHUTT","Football Helmet","Sports","This helmet is universal and fully adjustable for any size head. Includes five different customizable head pad sets to get the right fit.","600007","50","79.99","321","img/helmet_sml.jpg","img/gloves_lg.jpg","0","4"
"9","DRIFT","Lawn Darts","Leisure","Yeah, that's right lawn darts! These oversized plastic and metal weighted darts are perfect for games at the beach, in the backyard, or in your neighbor's rose garden.","610006","18","24.99","80","img/lawndart_sml.jpg","img/lawndart_lg.jpg","0","2"
"10","SPORTOPIA","Chain Net","Sports","This generic chain net is made of stainless steal links and coated In rust resistant plastic ","600008","20","29.99","150","img/net_sml.jpg","img/net_lg.jpg","0","3"
"11","SCHUTT","Football Pads","Sports","Built with ultimate protection in mind, these pads will let the heavy hits keep coming without you feeling any of them.","600009","60","74.5","207","img/pads_sml.jpg","img/pads_lg.jpg","0","1"
"12","NIKE","Basketball Shorts","Sports","Breathable, comfortable, and quick drying- these sport shorts by nike will keep you movng quick and nimbly.","600010","4","15.99","18","img/shorts_sml.jpg","img/shorts_lg.jpg","0","2"
